2025-06-24 00:49:28,991 - __main__ - DEBUG - Логування налаштовано: DEBUG
2025-06-24 00:49:28,991 - __main__ - INFO - Логування налаштовано: INFO
2025-06-24 00:49:28,991 - __main__ - WARNING - Логування налаштовано: WARNING
2025-06-24 00:49:28,991 - __main__ - ERROR - Логування налаштовано: ERROR
2025-06-24 00:49:28,991 - __main__ - CRITICAL - Логування налаштовано: CRITICAL
2025-06-24 01:05:37,170 - __main__ - DEBUG - Логування налаштовано: DEBUG
2025-06-24 01:05:37,170 - __main__ - INFO - Логування налаштовано: INFO
2025-06-24 01:05:37,171 - __main__ - WARNING - Логування налаштовано: WARNING
2025-06-24 01:05:37,171 - __main__ - ERROR - Логування налаштовано: ERROR
2025-06-24 01:05:37,171 - __main__ - CRITICAL - Логування налаштовано: CRITICAL
2025-06-24 01:05:38,751 - __main__ - INFO - Гра запущена. Відображення головного меню.
2025-06-24 01:05:40,429 - __main__ - INFO - Завантажено рівень 1.
2025-06-24 01:05:40,485 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:40,502 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:40,520 - __main__ - DEBUG - FPS: 200.00, Frame Time: 5 ms
2025-06-24 01:05:40,537 - __main__ - DEBUG - FPS: 200.00, Frame Time: 5 ms
2025-06-24 01:05:40,553 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:40,569 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,585 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:40,601 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:40,618 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,634 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,651 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,667 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:40,683 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:40,699 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:40,716 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,732 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:40,749 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:40,765 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,781 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:40,798 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,814 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:40,831 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,847 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,863 - __main__ - DEBUG - FPS: 500.00, Frame Time: 2 ms
2025-06-24 01:05:40,881 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,897 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,913 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,930 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,947 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:40,963 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:40,981 - __main__ - DEBUG - FPS: 166.67, Frame Time: 6 ms
2025-06-24 01:05:40,997 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,013 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,030 - __main__ - DEBUG - FPS: 200.00, Frame Time: 5 ms
2025-06-24 01:05:41,045 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,063 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,080 - __main__ - DEBUG - FPS: 200.00, Frame Time: 5 ms
2025-06-24 01:05:41,094 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,112 - __main__ - DEBUG - FPS: 200.00, Frame Time: 5 ms
2025-06-24 01:05:41,129 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,146 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,162 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,177 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,194 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,210 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,227 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,244 - __main__ - DEBUG - FPS: 200.00, Frame Time: 5 ms
2025-06-24 01:05:41,259 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,275 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,293 - __main__ - DEBUG - FPS: 200.00, Frame Time: 5 ms
2025-06-24 01:05:41,308 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,325 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,342 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
2025-06-24 01:05:41,358 - __main__ - DEBUG - FPS: 333.33, Frame Time: 3 ms
2025-06-24 01:05:41,376 - __main__ - DEBUG - FPS: 250.00, Frame Time: 4 ms
